# postcodes.txt
#
# This file is distributed as part of FindMyNearest. It contains
# calculated mean locations for GB postcode areas, districts and
# sectors.
#
# These data are derived from the Ordnance Survey Code Point Open
# data and are made availabe under the Creative Commons 
# Attribution 3.0 licence, see
# http://creativecommons.org/licenses/by/3.0/
#
# Any derivitive work must retain the following attribution
#
# Contains Ordnance Survey data (c) Crown copyright and 
# database right 2010
#
# Contains Royal Mail data (c) Royal Mail copyright and 
# database right 2010
#
# postcode	eastings	northings
B28 0	410483	280298
B28 1	410729	281245
B28 8	410754	282129
B28 9	411241	281136
B28	410759	281043
B29 4	402632	281223
B29 5	402286	282241
B29 6	404036	282473
B29 7	405430	282587
B29 9	404461	282257
B29	403579	282170
B3 1	406500	287302
B3 2	406761	286832
B3 3	406668	286923
B3	406648	287019
B30 1	404029	280471
B30 2	405452	281082
B30 3	405705	279538
B30 9	404848	279910
B30	404999	280426
B31 1	401470	280553
B31 2	402271	279284
B31 3	402881	278183
B31 4	401896	277495
B31 5	400803	278995
B31 9	402059	279708
B31	401947	278907
B32 1	400075	284437
B32 2	401360	284332
B32 3	400436	282550
B32 4	399443	281536
B32 9	400421	284751
B32	400460	283423
B33 0	415647	286409
B33 3	414570	287556
B33 8	413421	286885
B33 9	414226	287602
B33	414471	286976
B34 6	414194	288760
B34 7	415756	288702
B34	414908	288733
B35 6	414490	291636
B35 7	414355	290940
B35 9	414103	290228
B35	414404	291217
B36 0	416770	289402
B36 8	412935	289519
B36 9	415587	290017
B36	415087	289630
B37 5	417134	286741
B37 6	417488	287871
B37 7	418022	285953
B37 9	417438	287196
B37	417599	286772
B38 0	406103	277599
B38 8	403936	278324
B38 9	404728	277754
B38	404533	277994
B4 6	407102	287243
B4 7	407439	287179
B4	407266	287212
B40 1	418884	284588
B40	418884	284588
B42 1	405593	292612
B42 2	406236	293157
B42 9	407731	293586
B42	406089	292958
B43 5	404030	293492
B43 6	404246	294362
B43 7	405990	295472
B43	404836	294501
B44 0	408583	294229
B44 8	407470	293414
B44 9	407481	294972
B44	407884	294211
B45 0	399017	278569
B45 5	399899	276434
B45 8	400098	275290
B45 9	398909	277300
B45	399414	276736
B46 1	418970	290427
B46 2	423453	290999
B46 3	420077	288296
B46 9	420070	288956
B46	420789	290140
B47 5	408275	277035
B47 6	408141	275631
B47	408223	276490
B48 7	403662	273010
B48	403662	273010
B49 5	407802	257577
B49 6	410295	257815
B49 9	408976	257316
B49	409114	257692
B5 4	406991	286465
B5 5	407721	286707
B5 6	407387	286144
B5 7	406732	284937
B5	407043	285717
B50 4	409989	252297
B50	409989	252297
B6 4	407511	288549
B6 5	407831	289295
B6 6	407495	289961
B6 7	408437	290378
B6 9	407279	288677
B6	407815	289647
B60 1	397881	272263
B60 2	396623	270144
B60 3	396097	269109
B60 4	395356	266371
B60 9	396347	269672
B60	396543	269689
B61 0	396375	273398
B61 7	394966	269794
B61 8	395623	271288
B61 9	393821	272719
B61	395390	272005
B62 0	397366	281842
B62 2	396984	285664
B62 8	397516	284780
B62 9	398465	285514
B62	397757	284378
